id,text
20,"Why we are not using the sea waves to generate electricity?

Same reason solar power isn't more popular despite lots of sunshine: with current technology the cost per kwh is still much higher than for power generated with fossil fuels. As fossil fuel prices rise and technology improves so-called ""alternative"" energy sources become more cost effective, but the crossover point still appears to be several years in the future.\nForcing expensive alternative technologies on the market before they are economically viable simply raises electricity prices for homeowners--this is part of the reason CA electric rates were so far above the national average in the 1990's, opening the door for Enron and like to make their ill-fated arbitrage plays..."
21,"Is it legal to publicly rate medical doctors?

NOT LEGAL ADVICE:\nAs long as you make it clear that you are offering your opinion, then your ratings will be protected by the US Constitution's 1st Amendment protection for free speech. (You are in the US, right?)  \n\nIf you falsely or misleadingly indicate that your rankings are based on something other than your opinion, then there may be liability for libel or even fraud.  However, if the rankings are based on some criteria other than your opinion, and you are explicit about the basis for the rankings and truthful about the results, you are similarly protected.  \n\nShouldn't be a difference for medical or mechanical rankings. But, keep in mind that if people rely on your endorsement and then something goes wrong, they may seek to hold you liable.  The best protection against this is to be explicit about your sources (opinion, etc.) and have a lawyer advise you.\n\nGood luck!"
22,"BUF Compagnie

BUF Compagnie is a French visual effects company specializing in CGI for feature films commercials and music videos."
23,"How long is the wall of china?

The Wall stretches over a formidable 6,350 km (3,946 miles), from Shanhai Pass on the Bohai Gulf in the east, at the limit between China proper and Manchuria, to Lop Nur in the southeastern portion of Xinjiang Uygur Autonomous Region."
24,"Bacteria gives coral orange glow Orange coral common to the Caribbean has bacteria to thank for its hue, say US marine scientists.

Bacteria gives coral orange glow Orange coral common to the Caribbean has bacteria to thank for its hue, say US marine scientists."
25,"Hacker Cracks Apple's Music Streaming Technology SAN JOSE, Calif. (AP) -- The Norwegian hacker famed for developing DVD encryption-cracking software has apparently struck again - this time breaking the locks on Apple Computer Inc...

Hacker Cracks Apple's Music Streaming Technology SAN JOSE, Calif. (AP) -- The Norwegian hacker famed for developing DVD encryption-cracking software has apparently struck again - this time breaking the locks on Apple Computer Inc..."
26,"Greatist

Greatist is a fitness health and happiness Internet media startup. Founded in 2011 by Derek Flanzraich. Acknowledged for its high-quality content aimed primarily at an 18-35 audience the site now reaches over 4 million unique visitors per month with its traffic driven primarily by social media."
27,"Playfish

Playfish currently a property of Electronic Arts was a developer of free-to-play social network games. Playfish was founded in 2007 by Kristian Segerstråle Sebastien de Halleux Sami Lababidi and Shukri Shammas. It closed in 2013. Playfish in the past had attracted up to 55 million users a month with over 37 million users coming from Facebook users. In October 2008 they secured US$17 million in venture capital funding from Accel Partners and Index Ventures."
28,"Saturn's Moon Titan: Planet Wannabe by Henry Bortman     Jonathan Lunine, professor of planetary science and physics at the University of Arizona's Lunar and Planetary Laboratory in Tucson, Arizona, has long been fascinated by Saturn's largest moon, Titan. In this first part of the interview, Lunine explains what scientists hope to learn from Huygens...

Saturn's Moon Titan: Planet Wannabe by Henry Bortman     Jonathan Lunine, professor of planetary science and physics at the University of Arizona's Lunar and Planetary Laboratory in Tucson, Arizona, has long been fascinated by Saturn's largest moon, Titan. In this first part of the interview, Lunine explains what scientists hope to learn from Huygens..."
29,"The Equitable Life Assurance Society

The Equitable Life Assurance Society (Equitable Life) founded 1762 is a life insurance company in the United Kingdom."
30,"What's your definition of Web 2.0?

The best article I've read on the subject is in the link below.  In summary, the article cites the following 7 factors common to Web 2.0:\n\n* Services, not packaged software, with cost-effective scalability\n* Control over unique, hard-to-recreate data sources that get richer as more people use them\n* Trusting users as co-developers\n* Harnessing collective intelligence\n* Leveraging the long tail through customer self-service\n* Software above the level of a single device\n* Lightweight user interfaces, development models, AND business models"
31,"why ""liberal"" in the US is considered as ""left"", while in europe is used to define a conservative?

Sorry, here in Europe, liberal is not conservative...Is not left (actually, is center-right), but here in Europe, in the Center right has three families: Conservatives, Christian-Democrats and Liberals; and they are pretty differents."
32,"TB test to slash infection rates A rapid and accurate test for TB could cut infection rates around the world, say experts.

TB test to slash infection rates A rapid and accurate test for TB could cut infection rates around the world, say experts."
33,"PrivatBank

PrivatBank (Ukrainian: ПриватБанк) is the largest commercial bank in Ukraine in terms of the number of clients assets value loan portfolio and taxes paid to the national budget. PrivatBank has its headquarters in Dnipropetrovsk in central Ukraine. In March 2014 was named by the American review Global Finance (magazine) as the Best Bank in Ukraine for 2014 while British magazine The Banker in November 2013 named again the same bank as the Bank of the year 2013 in Ukraine."
34,"Parttime MBA or Certification in Management, which one is better. Where can I do the Mgmt. certification from.

You see, one of the biggest value an MBA will bring is the ""networking"" opportunity. Hence, a part-time MBA with no classroom-based activities will miss this important piece.\n\nIf you want to go for a fully remote-based degree, the Open university is a good option.\n\nColumbia also has a good option for a certificate: you keep taking several courses and after some time you can apply for a certificate in business excellence.\n\nI think both the part-time mba or the certificate are good options if you pick a good school.\n\nIf you can afford going to the campus about twice a month, an executive mba is the best option in my opinion. Chech NYU, Kellog or Columbia."
35,"Quality Gets Swept Away Quality Distribution is hammered after reporting a large loss for the second quarter.

Quality Gets Swept Away Quality Distribution is hammered after reporting a large loss for the second quarter."
36,"Irwin Mitchell

Irwin Mitchell LLP is a firm of solicitors in the United Kingdom established in Sheffield in 1912 and now with offices in nine British cities. The firm has more than 180 partners 900+ associates consultants senior advisors and other fee-earners employing in total over 2200 people. The company was ranked 20th largest UK based law firm in terms of worldwide revenue in the 2010/2011 year with a turnover of £171.8m."
37,"Should T.O. be allowed to play for Eagles or any other team this season?

He deserves the punishment he's been given.  Let him sit it out this year (and still get paid a ridculous sum of money) and maybe that will set him straight.\n\nGreat player, I agree, but calling your teammates out on a regular basis isn't cool.  The Eagles did what was right."
38,"Stage Stores Inc.

Stage Stores Inc. is a department store company specializing mostly in retailing brand name clothing accessories cosmetics and footwear. It has its headquarters in Houston Texas.The company operates stores mainly in small and mid-size towns and communities primarily in Midwestern Southeastern and Mid-Atlantic states with a growing presence in the New England states."
39,"why doesn't an optical mouse work on a glass table?

Optical mice use an LED and a camera to rapidly capture images of the surface beneath the mouse.  The infomation from the camera is analyzed by a DSP (Digital Signal Processor) and used to detect imperfections in the underlying surface and determine motion. Some materials, such as glass, mirrors or other very shiny, uniform surfaces interfere with the ability of the DSP to accurately analyze the surface beneath the mouse.  \nSince glass is transparent and very uniform, the mouse is unable to pick up enough imperfections in the underlying surface to determine motion.  Mirrored surfaces are also a problem, since they constantly reflect back the same image, causing the DSP not to recognize motion properly. When the system is unable to see surface changes associated with movement, the mouse will not work properly."
40,"A.G. Barr

A.G. Barr plc commonly known as Barr's is a Scottish soft drink manufacturer based in Cumbernauld North Lanarkshire Scotland. It is particularly notable for the manufacture of the popular Scottish drinks Irn-Bru and Rubicon. It is listed on the London Stock Exchange and is a constituent of the FTSE 250 Index."
41,"PlayStation potential to learning The PlayStation games console could be developed into a learning tool for children, says a Northumberland head teacher.

PlayStation potential to learning The PlayStation games console could be developed into a learning tool for children, says a Northumberland head teacher."
42,"Finance Trust Bank

Finance Trust Bank (FTB) commonly called Finance Trust is a commercial bank in Uganda. It is licensed by the Bank of Uganda the central bank and national banking regulator."
43,"U.S. Century Bank

U.S. Century Bank is a community bank in the U.S. state of Florida locally owned and headquartered in Miami. U.S. Century Bank is a company that provides consumer and business banking services to communities throughout south Florida. It has approximately $1.61 billion in total assets $100 million in equity capital and a branch network that includes 24 locations throughout Miami-Dade and Broward counties. It is a member of the Federal Deposit Insurance Corporation."
44,"U.S. Warrior Arms Africans to Hunt Sudanese Poachers Armed poachers from Sudan have been raiding and destroying neighboring Central African Republic's wildlife resources for years. Now, with the help of a militant U.S. conservationist, the CAR populace is arming and training itself to fight back.

U.S. Warrior Arms Africans to Hunt Sudanese Poachers Armed poachers from Sudan have been raiding and destroying neighboring Central African Republic's wildlife resources for years. Now, with the help of a militant U.S. conservationist, the CAR populace is arming and training itself to fight back."
45,"Sharp Introduces 3-Dimensional Computer Display By MAY WONG     SAN JOSE, Calif. (AP) -- Hoping to spur a 3-D revolution, Sharp Systems of America introduced Monday a new flat-panel computer display designed to deliver eye-popping images without the need for special glasses...

Sharp Introduces 3-Dimensional Computer Display By MAY WONG     SAN JOSE, Calif. (AP) -- Hoping to spur a 3-D revolution, Sharp Systems of America introduced Monday a new flat-panel computer display designed to deliver eye-popping images without the need for special glasses..."
46,"Science, Politics Collide in Election Year (AP) AP - With more than 4,000 scientists, including 48 Nobel Prize winners, having signed a statement opposing the Bush administration's use of scientific advice, this election year is seeing a new development in the uneasy relationship between science and politics.

Science, Politics Collide in Election Year (AP) AP - With more than 4,000 scientists, including 48 Nobel Prize winners, having signed a statement opposing the Bush administration's use of scientific advice, this election year is seeing a new development in the uneasy relationship between science and politics."
47,"BakerHostetler

BakerHostetler is an American law firm founded in 1916. One of the firm's founders Newton D. Baker was U.S. Secretary of War during World War I and former Mayor of Cleveland Ohio United States.In 2009 the firm was rated the 85th largest law firm in the world."
48,"What's the capital city of Bolivia?

Sucre is the legal capital, though the government sits in La Paz"
49,"what's the best way to create a bootable windos/dos CD?

Well, the best way is to look at whatever program you have for burning CDs and see if it has an option to create a bootable CD.  If you can't find it, or use Windows itself to burn CDs, then it's a little more complicated.\nNote: If you find that booting from CD doesn't work, you may have to adjust your BIOS setting to allow your machine to boot from CD.\nIf you want to boot to windows: the easiest way is probably to go here: http://www.nu2.nu/bootcd/ and download a utility that will do it for you.  There are instructions there depending on what type of boot you want.\nIf you don't trust using a third party utility, Microsoft has some instructions here: http://support.microsoft.com/kb/167685/EN-US/ .  This process is not very straightforward though.\nIf you just need to get into your filesystem and poke around, you might consider booting a different OS.  For example, http://www.freedos.org/ (FreeDOS) and http://www.knoppix.net/ (Knoppix Linux) may do what you want.  For these, you can download ISO images and burn bootable CDs."
50,"Vattanac Capital

Vattanac Capital Tower is the tallest skyscraper located in Phnom Penh Cambodia with 39 stories. It is owned by Vattanac Properties Limited an affiliate of the Vattanac Bank. The construction started in 2009 topped out on May 10 2012 and was estimate to reach completion in late 2012."
51,"Sky and Trees Records

Sky and Trees Records is a record label set up by United Kingdom band Chumbawamba in 1983. The band used the label to release and distribute a number of cassettes and booklets by themselves (see also Cassette Culture) including their early demo recordings Be Happy Despite It All (1983) Another Year Of The same Old Shit (1984) and the 'cassette single' Common Ground (1984) which was a benefit for striking miners (see UK miners' strike (1984-1985))."
52,"Why do videos run slow on my computer?

i think you need to upgrade your memory card and graphic card.concult any hardware specialist...you will find your way outt but ofcourse you need to spend some cash heeeee bye.hav a nice dayyy.."
53,"UK Scientists Allowed to Clone Human Embryos (Reuters) Reuters - British scientists said on Wednesday\they had received permission to clone human embryos for medical\research, in what they believe to be the first such license to\be granted in Europe.

UK Scientists Allowed to Clone Human Embryos (Reuters) Reuters - British scientists said on Wednesday\they had received permission to clone human embryos for medical\research, in what they believe to be the first such license to\be granted in Europe."
54,"Central Aircraft Company

Central Aircraft Company Limited was a British aircraft manufacturer from its formation in 1916 to its closure in 1926."
55,"Ballet Fantastique

Ballet Fantastique is a 501(c)3 nonprofit chamber ballet company based in Eugene Oregon and co-directed by mother-daughter team Donna and Hannah Bontrager. Ballet Fantastique was founded in October 2000 and currently has three components: A professional chamber ballet company a pre-professional academy in the Russian Vaganova method of training and a busy outreach wing (bringing dance to a range of audiences both in-school and in-theater)."
56,"The Annual Perseid Meteor Shower The annual Perseid meteor shower is coming, and forecasters say it could be unusually good. Like bugs streaking down the side window of a moving car, colorful Perseid Earthgrazers could put on a pleasing show after sunset this week.

The Annual Perseid Meteor Shower The annual Perseid meteor shower is coming, and forecasters say it could be unusually good. Like bugs streaking down the side window of a moving car, colorful Perseid Earthgrazers could put on a pleasing show after sunset this week."
57,"Goldsmith's

Goldsmith's was a department store founded in Memphis Tennessee in 1870 by German immigrant brothers Jacob and Isaac Goldsmith. With a $500 investment they opened a dry goods store on Beale Street. It grew into a chain largely located in the Memphis metropolitan area until 2005 when the nameplate was eliminated and replaced by Macy's."
58,"Lee Valley Tools

Lee Valley Tools is a Canadian business specializing in tools and gifts for woodworking and gardening."
59,"How do you negotiate a job offer?

At the point you have a job offer, you are in the best position to negotiate.  This is because they have already spent the money to get all the way through the recruiting process, and if they were to start again from scratch it might cost them an additional 20-50k to bring a different candidate into the position.  Add to this the cost to the project of having an unfilled position for a longer period than expected, and you'll find there is a pretty large margin for you to negotiate where their net costs will be lower if they acquiese to your requests.\n\nThe other factor is the overall job market.  In today's market, where employment is picking up in many sectors you're in a good spot to negotiate.\n\nNow the right place to phrase things is to describe competitive offers (hopefully you'll have some) in terms of their relative advantage.  If one of your alternative offers pays more, you can allude to this vaguely.  Even if they do not, you can allude to the relative advantages (the types of challenge, the convience of the commute etc).  This will create a more competitive landscape where your potential employer feels like they need to overcome other offers (and not that you are simply greedy and would like more cash).\n\nUnless the potential employer has really lowballed you (i.e. you are well below industry averages for your area), you should shoot for a modest counter-proposal of 5-15%.  Put this out there with clear timelines for when they need to respond, and other forms you might accept (signing bonus, trading-up level/rank, etc).\n\nYou should stay professional throughout the process, even if your offer is rejected.  Employers know that this is the right time to bring these things up, so don't worry about burning bridges by putting a request out there at this stage.\n\nOk.  Hope that helps!"
60,"Woolf & Freedman Film Service

Woolf & Freedman Film Service was a UK film distributor which was founded by film producer C. M. Woolf and which operated from 1919 to 1934. The company distributed more than 140 films over a 15-year period. In 1935 Woolf formed a new company General Film Distributors.Some of Alfred Hitchcock's early silent films were produced by Gainsborough Pictures and distributed by Woolf & Freedman."
61,"Kinney Shoes

The G.R. Kinney Company was an American manufacturer and retailer of shoes from 1894 until September 16 1998. Its listing on the New York Stock Exchange symbol KNN began in March 1923. The shoe concern was started byGeorge Romanta Kinney whose father ran a general store in rural Candor New York. The father became indebted and George vowed to repay his indebtedness. In 1894 at the age of 28 he had saved enough to purchase a Lester retail outlet in Waverly New York."
62,"What is a motherboard?

from the American Heritage Dictionary: it is ""The main board of a computer, usually containing the circuitry for the central processing unit, keyboard, and monitor and often having slots for accepting additional circuitry."""
63,"Any learning center that offers Personalized tutoring programs in Portland?

The answer above is a great idea.  Of course, this will only work if you don't mind non-person to person tutoring.\n\nI would contact your local high schools and see if there are any tutors that will tutor your kid.  It might help both the high school student (elective credit) and your kid (because young kids look up to high school students).\n\nNewspapers are always advertising people looking for work such as nannies, care-takers, and yes...even tutors.\n\nI would try the high schools first.\n\nHere are a list of tutorint centers in the Portland area:\nhttp://www.anysubject.com/portland-tutors.asp\nhttp://portland.craigslist.com/lss/\nhttp://www.mindsinmotiontutoring.com/"
64,"What's a good way to find a pick-up basketball game?

Find local parks, YMCAs, gyms, churches (with courts) etc.  There are usually great pick up games at these locations in whatever town you live in."
65,"Why do we yawn?

Found an interesting article on this...\nYawning is a unique breathing act, which is different from the usual practice of breathing. During yawning, the mouth involuntarily opens due to the spasm of mastoid muscles. These spasms, without your permission, force you to take a deep breath. It also involves many other muscles of your body, such as abdominal muscles. Lung ventilation increases, sending oxygen to the brain. Extra blood is pushed from the liver and spleen to the brain stem. During yawning, intellectual activity stops and for a moment we cannot think. We usually start yawning when we are very tired, before sleep, when we are too excited, or extremely serious. \nThere is a yawn center in our brain that makes this act a reflex like coughing or swallowing. The yawning reflex is very contagious, forcing people to imitate it. This phenomenon even has a fancy name: alolomimea. Yawning can be easily conditioned to become a bad habit. If you fight the urge to yawn, it will return in a similar situation. Yawning is what your body develops to get a “time out” to recharge for a brief moment. It is a signal that we are running out of gas, it is a signal to rest. \nThis is a great compensatory mechanism, without which we would drop into sleep suddenly without warning, as in patients with narcolepsy."
66,"The Media Merchants

The Media Merchants Television Company ltd. was an independent television production company specialising in children's programmes run by Neil Buchanan and Tim Edmunds."
67,"What movie did Joe Pesci describe kids as ""YUTS""?

It was from the movie My Cousin Vinny when they were in the courtroom."
68,"KickApps

KickApps is a hosted platform for creating social networks and adding social software features video players and widgets to websites. More than 100000 sites use KickApps including major media companies (e.g. NBC Universal The BBC H&R Block and Scripps Networks) and a wide variety of niche websites.The KickApps company was acquired in January 2011 by KIT digital. Then in December 2012 the company was acquired again by Perfect Sense Digital."
69,"What is the size of Paris Hilton's feet?

She has size 11 feet."
70,"why some companies have survived for more then 50 years while others have failed only after 5?   why is that ?

a while ago I've red a very good book about this phenomena. \nit called- ""Built to Last: Successful Habits of Visionary Companies"" by James C. Collins, Jerry I. Porras \n\nthey picked only companies that have lasted more then 50 years and tried to point out the reason for succeeding such a long time. I recommend it there is a lot to learn in it"
71,"Georgia Gulf Corporation

The Georgia Gulf Corporation has historically been a major manufacturer and marketer of chlorovinyls (caustic soda chlorine VCM EDC PVC resins PVC rigid and flexible compounds) and aromatics (acetone cumene phenol)."
72,"Growth, Mortality of T. Rex Gets Clearer (AP) AP - Here's a dinosaur finding that parents can appreciate: The teenage Tyrannosaurus rex typically went through an explosive growth spurt, gaining nearly 5 pounds a day.

Growth, Mortality of T. Rex Gets Clearer (AP) AP - Here's a dinosaur finding that parents can appreciate: The teenage Tyrannosaurus rex typically went through an explosive growth spurt, gaining nearly 5 pounds a day."
73,"Caregivers Carry Virtual Clipboard Students design mobile data-access system for health-care workers.

Caregivers Carry Virtual Clipboard Students design mobile data-access system for health-care workers."
74,"What is the best microphone or headset for recording a podcast?

OK - I podcast, just wrapped my 160th show. I use a Plantronics Computer headset. Key is to position microphone 3 fingers away from your mouth, not under your nose. I think it was $14 from Fry's\n\nFor calls, I use a Radio Shack call recorder, plugs in between your phone and headset (phone must have headset jack). Was $24.\n\nProcessing your voice afterwards helps: normalize, use a little reverb, and compress. It makes a big difference, and you dont really need to use hardware to do it. \n\nThats the cheap method. You can spend a lot more and there are huge differences and situations. It depends on where you will be using it, who you will be talking to. Big difference between say a portable , interview show, and/or studio."
75,"What does the term playing hooky mean?

To play hooky is to skip school, to be truant."
76,"Progress Supply Ship Docks with Space Station NASA -- An unpiloted Russian cargo ship linked up the International Space Station this morning to deliver almost three tons of food, fuel, oxygen, water and supplies to the residents onboard.     The ISS Progress 15 craft automatically docked to the aft port of the Zvezda Service Module at 12:01 a.m...

Progress Supply Ship Docks with Space Station NASA -- An unpiloted Russian cargo ship linked up the International Space Station this morning to deliver almost three tons of food, fuel, oxygen, water and supplies to the residents onboard.     The ISS Progress 15 craft automatically docked to the aft port of the Zvezda Service Module at 12:01 a.m..."
77,"How many words with 10 letters are there in the US dictionary?

SCOWL (Spell Checker Oriented Word Lists) has about 70,000 10-letter words total.  If we limit it to the ""large"" subset recommended for spellchecking in the U.S., it's about 20,000 10-letter words.  If we then remove proper names, capitalized words, abbreviations, contractions, and possessives, it's about 14,000 words (from ""abandoning"" to ""zygodactyl"").\n\nScrabble dictionaries usually have considerably fewer 10-letter words, because they remove words that can't be formed in normal gameplay.  The one I have lists about 50 10-letter words."
78,"'Invisible' technology for Olympics Getting the technology in place for Athens 2004 is an Olympic task in itself.

'Invisible' technology for Olympics Getting the technology in place for Athens 2004 is an Olympic task in itself."
79,"Del Monte Motor Works Inc.

Del Monte Motor Works Inc.. also known as Del Monte Motors or DMMC is a bus and truck manufacturer which headquartered in Quezon City Philippines. it is also products for truck and bus bodies under the all brands."
80,"Which cat has the largest variety of prey?

In Africa, a pride of lions (male: ~400 lbs, female: ~280 lbs) pretty regularly hunt wildebeest (440-600 lbs), although they usually go after the sick or young ones.  Occasionally, they can take down a giraffe (2420-4250 lbs), but this doesn't happen often.  Elephants (11,000 lbs) and rhinos (2500 lbs) are just a little dangerous to be bothered.\nIn Asia, tigers can take down a water buffalo (1800-2600 lbs), although again, they usually go for the sick or young ones.\nThese are the cats with the largest prey."
81,"Hebmüller

The coachbuilding company Hebmüller And Sons was founded in 1889 by Joseph Hebmüller it was established in the town of Wuppertal in Germany.At start it constructed horsedrawn carriages but after the death of the founder Joseph in 1919 his sons started building bodies to automobiles."
82,"Anonymizer (company)

Anonymizer Inc. is an Internet privacy company founded in 1995 by Lance Cottrell author of the Mixmaster anonymous remailer. Anonymizer was originally named Infonex Internet. The name was changed to Anonymizer in 1997 when the company acquired a web based privacy proxy of the same name developed by Justin Boyan at Carnegie Mellon University School of Computer Science."
83,"What should I offer for Xmas to my grand'ma ?

How active is she? If she's confined or in a nursing home, keep it simple. Make her a photo album or frame a favorite picture. Bring her a favorite treat that she can't get on her own.  \nIf she can get around, experiences are better than things. Take her to a play or an outdoor concert or to a museum exhibition. If she has a favorite kind of food, treat her to a special meal. \nThe best gift you can give your grandma is time with you! Visit as often as you can, and promise to do so on a regular basis."
84,"Deep-Sea Vessel Puts Ocean Floor in Reach (AP) AP - A new deep-sea research vessel will be able to carry people to 99 percent of the ocean floor, diving deeper than the famed Alvin that pioneered the study of seafloor vents, plate tectonics and deep ocean creatures over the past 40 years.

Deep-Sea Vessel Puts Ocean Floor in Reach (AP) AP - A new deep-sea research vessel will be able to carry people to 99 percent of the ocean floor, diving deeper than the famed Alvin that pioneered the study of seafloor vents, plate tectonics and deep ocean creatures over the past 40 years."
85,"Prairie Dog Won't Be on Endangered List (AP) AP - The black-tailed prairie dog has been dropped from a list of candidates for the federal endangered species list because scientists have concluded the rodents are no longer threatened.

Prairie Dog Won't Be on Endangered List (AP) AP - The black-tailed prairie dog has been dropped from a list of candidates for the federal endangered species list because scientists have concluded the rodents are no longer threatened."
86,"Why are there 5 rings in the Olympics symbol?

The 5 rings were introduced at the the 1920 games in antwerp games. The rings included at least one color from the flag of every participating country."
